2,4,2355.0,4,0.001466545,65.401500000,1120.762500000,1160.933333333,0.470000000
4,16,2333.75,4,0.001532435,62.128750000,1893.336250000,2056.426290491,0.470000000
6,36,2296.3333333333335,4,0.002179173,63.169833333,2882.476000000,2659.637801207,0.470000000
8,64,2245.875,4,0.003218608,62.968875000,3790.829125000,3078.968947081,0.470000000
10,100,2184.8,4,0.004128645,61.713700000,4626.581400000,3342.292192359,0.470000000
2,4,2346.0,6,0.001524554,68.175000000,1260.125000000,1688.675408831,0.470000000
4,16,2305.5,6,0.002125943,69.524750000,2510.729000000,2717.566081131,0.470000000
6,36,2211.1666666666665,6,0.003656067,64.465166667,3796.802333333,3423.571019053,0.470000000
8,64,2113.125,6,0.005553825,71.277625000,5066.101250000,497.126577605,0.470000000
10,100,2071.8,6,0.006270225,63.135300000,10300.570100000,485.933520886,0.470000000
2,4,2336.5,10,0.001984295,95.159500000,2181.726500000,1927.980720193,0.470000000
4,16,2178.75,10,0.004168182,62.089500000,4076.383500000,3615.815630969,0.470000000
6,36,2077.8333333333335,10,0.005912769,50.919666667,5381.874666667,4493.216892770,0.470000000
8,64,2052.25,10,0.006899837,49.527250000,8043.993500000,3966.959620863,0.470000000
10,100,2042.9,10,0.007245025,49.183800000,11471.181400000,4150.380826986,0.470000000
2,4,2344.0,8,0.001694264,83.744000000,1543.823500000,1834.706088232,0.470000000
4,16,2255.75,8,0.003053958,75.759250000,3163.519250000,3086.469423537,0.470000000
6,36,2125.1666666666665,8,0.005009451,54.440000000,4556.813666667,4114.669617768,0.470000000
8,64,2066.875,8,0.006323164,65.094500000,6767.820000000,528.989998220,0.470000000
10,100,2052.9,8,0.006802118,58.439100000,9965.903300000,477.531741561,0.470000000
2,4,2356.0,2,0.001236199,68.412500000,1101.472000000,619.722535183,0.470000000
4,16,2344.75,2,0.001302341,63.449250000,1471.999000000,1142.015246514,0.470000000
6,36,2335.0,2,0.001344309,61.253666667,2020.356000000,1570.892860714,0.470000000
8,64,2323.75,2,0.001497894,60.424375000,2587.182250000,1924.820751792,0.470000000
10,100,2311.5,2,0.001828580,60.652400000,3363.411000000,2175.048665369,0.470000000
