Real,Real,Pred
4509.276666666667,4509.276666666667,5375.570253829671
28646.343333333334,28646.343333333334,26306.646502661744
23435.85,23435.85,22353.36285224317
19766.143333333333,19766.143333333333,18313.000509792935
5225.41,5225.41,4901.882112207979
6835.32,6835.32,8401.849386067237
4372.06,4372.06,3921.183522684487
4170.416666666667,4170.416666666667,3688.908625744555
4096.89,4096.89,3780.55790313865
4293.72,4293.72,4325.27433100505
31454.98333333333,31454.98333333333,29128.612711035785
25956.829999999998,25956.829999999998,25282.6733793893
21942.73333333333,21942.73333333333,20710.42116497823
4558.623333333333,4558.623333333333,4618.343361586836
33415.409999999996,33415.409999999996,30727.389895588967
27564.506666666664,27564.506666666664,26958.639967354426
23371.053333333333,23371.053333333333,22072.637610041013
4724.866666666667,4724.866666666667,5201.255934332669
9185.093333333334,9185.093333333334,8217.550310025608
5145.420000000001,5145.420000000001,6099.898459448459
7764.349999999999,7764.349999999999,6979.419212642821
6802.473333333333,6802.473333333333,6276.695370031963
1915.9566666666667,1915.9566666666667,1944.356899523834
6178.2300000000005,6178.2300000000005,8563.898600396866
6107.12,6107.12,6690.289580026064
17295.153333333335,17295.153333333335,15823.851814647393
5228.720000000001,5228.720000000001,6024.970981723791
14122.776666666665,14122.776666666665,13277.990703387904
11971.669999999998,11971.669999999998,11129.23952218065
5185.233333333334,5185.233333333334,2203.672164049301
24034.893333333333,24034.893333333333,22081.90635845709
19448.243333333332,19448.243333333332,18860.256374915123
5360.466666666666,5360.466666666666,4818.467475177566
16423.023333333334,16423.023333333334,15425.910540288114
5260.4433333333345,5260.4433333333345,10915.960355348161
1043.6033333333335,1043.6033333333335,1068.2472863112248
10367.513333333332,10367.513333333332,9781.121203745484
7355.496666666666,7355.496666666666,7178.338272553467
5665.34,5665.34,5545.146887271364
1085.6766666666667,1085.6766666666667,1111.1282098117688
1468.4,1468.4,1746.7272568984008
1614.25,1614.25,1501.800512735038
1348.6100000000001,1348.6100000000001,1270.8061006364474
1237.3466666666668,1237.3466666666668,1217.2805748694127
1233.0333333333333,1233.0333333333333,1274.168001828014
909.3299999999999,909.3299999999999,1230.6721980520038
